Super_Scaffold_7_ctg1,1,yes
Super_Scaffold_25_ctg1,2,yes
Super_Scaffold_31,3,yes
Super_Scaffold_23_ctg1,4,yes
Super_Scaffold_2_ctg1,5,yes
Super_Scaffold_9_ctg1,6,yes
Super_Scaffold_5_ctg1,7,yes
Super_Scaffold_14_ctg1,8,yes
Super_Scaffold_8_ctg1,9,yes
Super_Scaffold_3_ctg1,10,yes
Super_Scaffold_15_ctg1,11,yes
Super_Scaffold_16_ctg1,12,yes
Super_Scaffold_30,13,yes
Super_Scaffold_11_ctg1,14,yes
Super_Scaffold_12_ctg1,15,yes
Super_Scaffold_6_ctg1,16,yes
Super_Scaffold_10_ctg1,17,yes
Super_Scaffold_1_ctg1,18,yes
Super_Scaffold_19_ctg1,19,yes
Super_Scaffold_18_ctg1,20,yes
Super_Scaffold_4_ctg1,21,yes
Super_Scaffold_13_ctg1,22,yes
Super_Scaffold_20_ctg1,23,yes
Super_Scaffold_17_ctg1,24,yes
